# Observation File: data_collection.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: outlet discharge [mol d^-1]
# Region: surface outlet
# Reduction: extensive integral
# Variable: surface_star-water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: total evaporation [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: surface_star-evaporative_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow precipitation [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: surface_star-precipitation
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: rain precipitation [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: surface_star-precipitation_rain
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface_star-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: subsurface water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface_star-water_content_column
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface_star-water_content_snow
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface air temperature [K]
# Region: surface domain
# Reduction: average
# Variable: surface_star-air_temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface ALT average temperature [K]
# Region: surface domain
# Reduction: average
# Variable: surface_star-alt_avg_temp
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface thaw depth min [m]
# Region: surface domain
# Reduction: minimum
# Variable: surface_star-thaw_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface thaw depth max [m]
# Region: surface domain
# Reduction: maximum
# Variable: surface_star-thaw_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface water table [m]
# Region: surface domain
# Reduction: average
# Variable: surface_star-water_table
# Number of Vectors: 1
# =============================================================================
"time [d]","outlet discharge [mol d^-1]","total evaporation [m d^-1]","snow precipitation [m d^-1]","rain precipitation [m d^-1]","surface water content [mol]","subsurface water content [mol]","snow water content [mol]","surface air temperature [K]","surface ALT average temperature [K]","surface thaw depth min [m]","surface thaw depth max [m]","surface water table [m]"
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161229365149e+09,0.000000000000e+00,2.502748419438e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
1.000000000000e+00,0.000000000000e+00,-6.426967396044e-03,5.130380068327e-04,0.000000000000e+00,0.000000000000e+00,1.161229365155e+09,5.381878951694e+00,2.501621675048e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
2.000000000000e+00,0.000000000000e+00,-6.452746520926e-03,5.130380068327e-04,0.000000000000e+00,0.000000000000e+00,1.161229365156e+09,1.078374198323e+01,2.500419373237e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
3.000000000000e+00,0.000000000000e+00,-6.490458962585e-03,5.130380068327e-04,0.000000000000e+00,0.000000000000e+00,1.161229365155e+09,1.621485450953e+01,2.498903128419e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
4.000000000000e+00,0.000000000000e+00,-6.531258869674e-03,5.130380068327e-04,0.000000000000e+00,0.000000000000e+00,1.161229365155e+09,2.167760567658e+01,2.497484599766e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
5.000000000000e+00,0.000000000000e+00,-6.551989607985e-03,5.130380068327e-04,0.000000000000e+00,0.000000000000e+00,1.161229365155e+09,2.715643493248e+01,2.495836487973e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
6.000000000000e+00,0.000000000000e+00,-6.536287622253e-03,5.130380068327e-04,0.000000000000e+00,0.000000000000e+00,1.161229365155e+09,3.262308895704e+01,2.494172557414e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
7.000000000000e+00,0.000000000000e+00,-6.518996595604e-03,5.130380068327e-04,0.000000000000e+00,0.000000000000e+00,1.161229365155e+09,3.807633510960e+01,2.492754222222e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
8.000000000000e+00,0.000000000000e+00,-6.523600541559e-03,5.130380068327e-04,0.000000000000e+00,0.000000000000e+00,1.161229365155e+09,4.353315342182e+01,2.491918126206e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
9.000000000000e+00,0.000000000000e+00,-6.513509920671e-03,5.130380068327e-04,0.000000000000e+00,0.000000000000e+00,1.161229365155e+09,4.898215757370e+01,2.491165831886e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
